V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:0 = Reset:0 + v_shifted:0 + acc: 0| threshold: 91 S:0 | nindex = 131 | v_prev = 0 | decay = 31129 
V:146 = Reset:0 + v_shifted:0 + acc: 146| threshold: 91 S:1 | nindex = 131 | v_prev = 0 | decay = 31129 
V:52 = Reset:91 + v_shifted:138 + acc: 5| threshold: 91 S:0 | nindex = 131 | v_prev = 146 | decay = 31129 
V:66 = Reset:0 + v_shifted:49 + acc: 17| threshold: 91 S:0 | nindex = 131 | v_prev = 52 | decay = 31129 
V:-26 = Reset:0 + v_shifted:62 + acc: -88| threshold: 91 S:0 | nindex = 131 | v_prev = 66 | decay = 31129 
V:89 = Reset:0 + v_shifted:-25 + acc: 114| threshold: 91 S:0 | nindex = 131 | v_prev = -26 | decay = 31129 
V:176 = Reset:0 + v_shifted:84 + acc: 92| threshold: 91 S:1 | nindex = 131 | v_prev = 89 | decay = 31129 
V:163 = Reset:91 + v_shifted:167 + acc: 87| threshold: 91 S:1 | nindex = 131 | v_prev = 176 | decay = 31129 
V:150 = Reset:91 + v_shifted:154 + acc: 87| threshold: 91 S:1 | nindex = 131 | v_prev = 163 | decay = 31129 
