V:95 = Reset:91 + acc: 95| threshold: 91 S:1 | nindex = 8 
V:-33 = Reset:0 + acc: 65504| threshold: 91 S:0 | nindex = 8 
V:12 = Reset:0 + acc: 44| threshold: 91 S:0 | nindex = 8 
V:120 = Reset:91 + acc: 109| threshold: 91 S:1 | nindex = 8 
V:184 = Reset:91 + acc: 162| threshold: 91 S:1 | nindex = 8 
V:433 = Reset:91 + acc: 350| threshold: 91 S:1 | nindex = 8 
V:668 = Reset:91 + acc: 348| threshold: 91 S:1 | nindex = 8 
V:786 = Reset:91 + acc: 243| threshold: 91 S:1 | nindex = 8 
V:1118 = Reset:91 + acc: 463| threshold: 91 S:1 | nindex = 8 
V:1289 = Reset:91 + acc: 318| threshold: 91 S:1 | nindex = 8 
V:1182 = Reset:91 + acc: 49| threshold: 91 S:1 | nindex = 8 
V:1030 = Reset:91 + acc: 65535| threshold: 91 S:1 | nindex = 8 
V:1025 = Reset:91 + acc: 138| threshold: 91 S:1 | nindex = 8 
V:748 = Reset:91 + acc: 65402| threshold: 91 S:1 | nindex = 8 
V:768 = Reset:91 + acc: 149| threshold: 91 S:1 | nindex = 8 
V:675 = Reset:91 + acc: 37| threshold: 91 S:1 | nindex = 8 
V:675 = Reset:91 + acc: 125| threshold: 91 S:1 | nindex = 8 
V:740 = Reset:91 + acc: 190| threshold: 91 S:1 | nindex = 8 
V:730 = Reset:91 + acc: 119| threshold: 91 S:1 | nindex = 8 
V:713 = Reset:91 + acc: 111| threshold: 91 S:1 | nindex = 8 
V:924 = Reset:91 + acc: 338| threshold: 91 S:1 | nindex = 8 
V:1124 = Reset:91 + acc: 338| threshold: 91 S:1 | nindex = 8 
V:1082 = Reset:91 + acc: 106| threshold: 91 S:1 | nindex = 8 
V:891 = Reset:91 + acc: 65491| threshold: 91 S:1 | nindex = 8 
V:829 = Reset:91 + acc: 74| threshold: 91 S:1 | nindex = 8 
V:742 = Reset:91 + acc: 46| threshold: 91 S:1 | nindex = 8 
V:736 = Reset:91 + acc: 123| threshold: 91 S:1 | nindex = 8 
V:751 = Reset:91 + acc: 143| threshold: 91 S:1 | nindex = 8 
V:778 = Reset:91 + acc: 156| threshold: 91 S:1 | nindex = 8 
V:771 = Reset:91 + acc: 123| threshold: 91 S:1 | nindex = 8 
V:770 = Reset:91 + acc: 129| threshold: 91 S:1 | nindex = 8 
V:802 = Reset:91 + acc: 162| threshold: 91 S:1 | nindex = 8 
V:857 = Reset:91 + acc: 187| threshold: 91 S:1 | nindex = 8 
V:885 = Reset:91 + acc: 162| threshold: 91 S:1 | nindex = 8 
V:953 = Reset:91 + acc: 204| threshold: 91 S:1 | nindex = 8 
V:1018 = Reset:91 + acc: 204| threshold: 91 S:1 | nindex = 8 
V:1038 = Reset:91 + acc: 162| threshold: 91 S:1 | nindex = 8 
V:1044 = Reset:91 + acc: 149| threshold: 91 S:1 | nindex = 8 
V:951 = Reset:91 + acc: 51| threshold: 91 S:1 | nindex = 8 
V:832 = Reset:91 + acc: 20| threshold: 91 S:1 | nindex = 8 
V:719 = Reset:91 + acc: 20| threshold: 91 S:1 | nindex = 8 
V:612 = Reset:91 + acc: 20| threshold: 91 S:1 | nindex = 8 
V:510 = Reset:91 + acc: 20| threshold: 91 S:1 | nindex = 8 
V:455 = Reset:91 + acc: 62| threshold: 91 S:1 | nindex = 8 
V:420 = Reset:91 + acc: 79| threshold: 91 S:1 | nindex = 8 
V:386 = Reset:91 + acc: 79| threshold: 91 S:1 | nindex = 8 
V:354 = Reset:91 + acc: 79| threshold: 91 S:1 | nindex = 8 
V:324 = Reset:91 + acc: 79| threshold: 91 S:1 | nindex = 8 
V:279 = Reset:91 + acc: 63| threshold: 91 S:1 | nindex = 8 
V:259 = Reset:91 + acc: 85| threshold: 91 S:1 | nindex = 8 
V:240 = Reset:91 + acc: 85| threshold: 91 S:1 | nindex = 8 
V:221 = Reset:91 + acc: 85| threshold: 91 S:1 | nindex = 8 
V:144 = Reset:91 + acc: 26| threshold: 91 S:1 | nindex = 8 
V:71 = Reset:0 + acc: 26| threshold: 91 S:0 | nindex = 8 
V:93 = Reset:91 + acc: 26| threshold: 91 S:1 | nindex = 8 
V:23 = Reset:0 + acc: 26| threshold: 91 S:0 | nindex = 8 
V:63 = Reset:0 + acc: 42| threshold: 91 S:0 | nindex = 8 
V:114 = Reset:91 + acc: 55| threshold: 91 S:1 | nindex = 8 
V:72 = Reset:0 + acc: 55| threshold: 91 S:0 | nindex = 8 
V:172 = Reset:91 + acc: 104| threshold: 91 S:1 | nindex = 8 
V:163 = Reset:91 + acc: 91| threshold: 91 S:1 | nindex = 8 
V:118 = Reset:91 + acc: 55| threshold: 91 S:1 | nindex = 8
